Food Item / Type Of Food,Estimated Population
Nasi putih,19551794
Nasi beras perang,19377221
Nasi berperisa,19604167
Bubur nasi,19437858
Pulut,19403921
Mee kuning/mee siput/mee segera ,19234690
Mihun/Kueh teow/laksa/laksam/loh shi fun ,19272563
Pasta,19455101
Sagu/ambuyat/linut,19360578
Roti,19337037
Roti bijirin penuh,19411071
Roti bun,19403690
Roti canai,19493728
Capati,19436409
Tosai,19506180
Bijirin sarapan pagi,19504881
Bijirin tersedia perlu dibancuh,19445761
Jagung,19500040
Burger,19366893
Ayam goreng,19464144
Pizza,19406969
Kentang goreng,19309067
Kentang lenyek,19324591
Coleslaw,19293368
Sosej/hotdog/frankfurter,19459679
Nugget,19462149
Ayam,19499772
Burung puyuh,19495580
Itik,19472532
Lembu/kerbau,19397341
Kambing,19364971
"Organ dalaman (Hati, limpa, paru)",19461397
Ham2,7626839
Bacon2,7613331
Luncheon meat2,7605872
Babi2,7673080
Ikan laut,19546866
Ikan air tawar,19424286
Udang basah,19539093
Sotong basah,19469897
Ikan dalam tin,19536638
Ketam,19488449
Ikan bilis,19505015
Kekerang,19439869
Siput sedut,19470325
Ikan jeruk,19448777
Sotong kering,19452652
Keropok,19503941
ikan/udang/sotong/ketam Keropok lekor,19547142
Bebola/kek ikan/udang/sotong/ketam ,19488121
Ikan kering,19488757
Telur ayam,19608711
Telur itik,19474880
Telur puyuh,19445611
Telur masin,19499343
Kekacang,19470321
Kacang tanah,19374901
Taufufa,19382389
Tauhu,19484393
Tempe,19465479
Susu segar,19460554
Susu komersial,19462286
Yogurt/lassi/tairu,19393243
Susu tepung,19475346
Keju,19318005
Sayuran berdaun hijau,19435818
Bendi,19366471
Sayuran kekacang lain,19349982
Taugeh,19311019
Sayuran berubi,19394157
Sayuran kobis,19370412
Cili,19295599
Tomato,19343359
Terung,14548074
Sayuran berbuah lain,19450171
Sayuran asin/kering,19509481
Ulam-ulaman,19427045
Cendawan basah,19363411
Cendawan kering,19303232
Betik,19386178
Mangga,19260683
Nenas,19260853
Tembikai,19307912
Buah naga,19339540
Tembikai susu,19352229
Rock melon,19328709
Jambu batu,19328576
Jambu air,19329237
Limau,19352154
Pisang,19356701
Belimbing,19302173
Epal,19291071
Oren/Mandarin,19257432
Pir/Lai,19347584
Anggur,19362411
Rambutan,19382757
Mata kucing segar,19419525
Laici segar,19406713
Durian,19397097
Nangka/Cempedak,19347686
Buahan dalam tin,19398950
Buahan kering,19370915
Buahan jeruk/acar,19400168
Kelapa muda,19296276
Air kosong,19238136
Teh,19367280
Kopi,19363319
Minuman bercoklat,19402347
Minuman bermalt,19533505
Minuman pra campuran,19495032
Minuman ready to drink,19490620
Sirap cordial,19407788
Jus buah-buahan,19315302
Minuman bergas,19435307
Air kacang soya,19438212
Minuman botani/herba 2 in 1/3 in 1 dsb (pra-campuran) ,19433632
Minuman botani/herba dalam tin/kotak (ready to drink) ,19473903
Minuman air rebusan,19461487
botani/herba Minuman bertenaga,19446428
Minuman yogurt,19404009
Syandi,7849855
Bir/lager/ale/stout,7899253
Wain/cider/champagne/peri,7846967
Brandi/rum/wiski/vodka/gin/,7861877
samsu/sam cheng/ montoku/langkau Kuih-muih,19444007
Coklat bar,19513604
Kek,19443874
Agar-agar/kastard,19430413
Aiskrim (tanpa susu),19334289
Aiskrim (susu),19416461
ABC (Air Batu Campur),19398801
Biskut tawar/krim kraker,19544700
Biskut berperisa/berkrim/berinti,19503810
Pastri,19473090
Snek/kerepek,19253512
Jem,19427706
Seri kaya,19352839
Mentega,19415504
Marjerin,19355327
Mentega kacang,19377509
Krim keju,19392241
Sapuan coklat,19430139
Gula,19482548
Madu,19462116
Susu pekat manis,19457187
Sambal,19452643
Jeruk,19393037
Belacan,19363116
Budu,19475617
Cencalok,19424167
Kicap,19423070
Sos cili,19352489
Sos tomato,19406671
Sos tiram,19421061
Sos ikan,19429463
Petis/hako/otak udang,19457316
Cili kering,19420876
Salad dressing,19460088
